workingday,hr,observed_records,average_hourly_rentals,casual_hourly_average,registered_hourly_average,day_type
0,0,230,90.8,16.64782608695652,74.15217391304348,non_working_day
0,1,230,69.50869565217391,12.504347826086956,57.004347826086956,non_working_day
0,2,228,53.171052631578945,10.399122807017545,42.771929824561404,non_working_day
0,3,227,25.77533039647577,6.453744493392071,19.3215859030837,non_working_day
0,4,227,8.26431718061674,2.26431718061674,6.0,non_working_day
0,5,222,8.68918918918919,1.7252252252252251,6.963963963963964,non_working_day
0,6,229,18.74235807860262,3.8209606986899565,14.921397379912664,non_working_day
0,7,231,43.40692640692641,8.606060606060606,34.8008658008658,non_working_day
0,8,231,105.65367965367966,20.424242424242426,85.22943722943722,non_working_day
0,9,231,171.62337662337663,45.01731601731602,126.60606060606061,non_working_day
0,10,231,255.9090909090909,79.26839826839827,176.64069264069263,non_working_day
0,11,231,315.31601731601734,106.65367965367966,208.66233766233765,non_working_day
0,12,231,366.2597402597403,126.24675324675324,240.01298701298703,non_working_day
0,13,231,372.73160173160176,136.42424242424244,236.30735930735932,non_working_day
0,14,231,364.64502164502164,139.5930735930736,225.05194805194805,non_working_day
0,15,231,358.8138528138528,136.5021645021645,222.3116883116883,non_working_day
0,16,231,352.72727272727275,128.6147186147186,224.1125541125541,non_working_day
0,17,231,323.54978354978357,111.81385281385282,211.73593073593074,non_working_day
0,18,230,281.05652173913046,84.22173913043478,196.83478260869566,non_working_day
0,19,230,231.67391304347825,65.54782608695652,166.12608695652173,non_working_day
0,20,230,174.7391304347826,46.76521739130435,127.97391304347826,non_working_day
0,21,230,142.0608695652174,36.14782608695652,105.91304347826087,non_working_day
0,22,230,116.06086956521739,28.056521739130435,88.00434782608696,non_working_day
0,23,230,85.9304347826087,19.139130434782608,66.79130434782608,non_working_day
1,0,496,36.78629032258065,7.149193548387097,29.637096774193548,working_day
1,1,494,16.55263157894737,3.710526315789474,12.842105263157896,working_day
1,2,487,8.683778234086242,2.137577002053388,6.546201232032854,working_day
1,3,470,4.9425531914893615,0.9106382978723404,4.031914893617022,working_day
1,4,470,5.4297872340425535,0.7659574468085106,4.663829787234042,working_day
1,5,495,24.913131313131313,1.2707070707070707,23.64242424242424,working_day
1,6,496,102.5,4.318548387096774,98.18145161290323,working_day
1,7,496,290.61290322580646,12.195564516129032,278.41733870967744,working_day
1,8,496,477.00604838709677,22.264112903225808,454.741935483871,working_day
1,9,496,241.51814516129033,24.3125,217.20564516129033,working_day
1,10,496,135.36693548387098,31.205645161290324,104.16129032258064,working_day
1,11,496,158.2298387096774,37.59879032258065,120.63104838709677,working_day
1,12,497,200.8209255533199,41.35814889336016,159.46277665995976,working_day
1,13,498,198.429718875502,42.56827309236948,155.86144578313252,working_day
1,14,498,183.5722891566265,45.869477911646584,137.70281124497993,working_day
1,15,498,201.33132530120483,46.333333333333336,154.99799196787149,working_day
1,16,499,293.12224448897797,48.344689378757515,244.77755511022045,working_day
1,17,499,525.2905811623247,56.895791583166336,468.3947895791583,working_day
1,18,498,492.2269076305221,50.45180722891566,441.77510040160644,working_day
1,19,498,348.4016064257028,41.02208835341366,307.37951807228916,working_day
1,20,498,249.71887550200802,31.369477911646587,218.34939759036143,working_day
1,21,498,186.2871485943775,24.610441767068274,161.67670682730923,working_day
1,22,498,138.38955823293173,19.572289156626507,118.81726907630522,working_day
1,23,498,88.70883534136546,13.379518072289157,75.3293172690763,working_day
